,artist_name,track_name,song_id
130,flume,never be like you (feat. kai),5WI2ltQIdwgzf1SNE76JyR
131,pink floyd,high hopes,5a4MgIUSf9K8wXLSm6xPEx
133,megadeth,five magics,1aSGE7H6pkelrCmdzMquEg
136,bing crosby,dream a little dream of me,49biLp7sPTHLW6sQib5F0V
137,cab calloway,a chicken ain't nothing but a bird,4ukeI7Wn6W02spgtwzBJt2
138,rita ora,your song,46xkXPGjR9Ig9BcaTUNus3
139,the wood brothers,blue and green,2S07mMXPl3teviPxwaHvPl
140,toots & the maytals,monkey girl,2jK9viQ42StKvURUlXbGqy
141,the psychedelic furs,the ghost in you,04BQXS1HwzNpfZ2Wvw2RIy
142,the supremes,everything is good about you,4Kkc9FUzcD4kAEM0DjbuUz
143,the beatles,and i love her,65vdMBskhx3akkG9vQlSH1
144,bruce springsteen,darkness on the edge of town,6fBy4h0spon7gkmZroCRmR
145,interpol,pda,286mFeYjBJ9fkioaIzaxoN
146,a day to remember,a shot in the dark,5xsxWJdLyrLWQkkdtXp9sl
149,bleu edmondson,finger on the trigger,0xJ6Xr620TwVr6kqDSk5tn
150,rod stewart,every beat of my heart,7AFYQ5pNtS4I98PvFXkvid
151,krokus,playin' the outlaw,3BYql2MM0Z6I2Z0fz0mc3X
152,strawberry alarm clock,hummin' happy,6ug6ptKUZytbgvptMIM6vK
153,tessellated,running,0wPi3JOWkhvk4vHYgf9yHG
154,the charlie daniels band,let her cry,5BBCf8WWFehDtOTJNaoR8P
155,dokken,tooth and nail,7fvyyUAVBfErHVfmMCJraR
156,slightly stoopid,sensi,5sA5NQuETYhP1oxV36EJs9
157,joe diffie,hurt me all the time,0up9N5JtxdhoGUFSB9jGwa
158,fats domino,three nights a week,5l8AvWEzLSiHajzkdQ6WYZ
159,the movement,when the feeling goes away,6urBMNarztXhgZ93wItFTQ
160,charlie rich,are you still my baby,6OTEWAR6832nNGILsXPALg
161,linton kwesi johnson,reggae sounds,7FGX1mnDDyaQjm6I4r558o
162,little feat,hangin' on to the good times,59c7SUF845rKDIhvc67qHD
163,the police,so lonely,2wnsBaxrmkthIFAm6vqCuX
164,ella fitzgerald,lover,5wIXpK3BAW5geIlEmYf23n
165,the head and the heart,missed connection,4R9KztunyNTH13KtAqePLp
166,dave mason,world in changes,1lbU09e2SYXn5XluhI4djx
167,dove cameron,rotten to the core,2bNxCVI4Fub8BAwr0CQDyd
168,gene clark,is yours is mine,0hwITjPhMWO19cP6SFFiU3
169,ra ra riot,absolutely,3SKJX0OsoSmrLghpTTgJdT
170,joni mitchell,blue,1OpzCsETUDNjY4noJRjAtP
171,devin townsend project,march of the poozers,3R4C2Jh2dtDs2DKZX3KpoQ
172,the goo goo dolls,before it's too late,4kmGRW1BgoKendL6V7cz29
173,tower of power,you can't fall up (you just fall down),69uG8ZwlX20vA5fKIEu8J8
174,weldon irvine,sinbad,1cZ7NCXlGhz4RTGgLHZ7Ow
175,j.j. cale,everything will be alright,0TGzKjIXY3I5mZ6RpnSUGq
176,the flamingos,lovers never say goodbye,1XDKn16I6tc1PNpXf58y3t
177,timbaland & magoo,baby bubba,4jqmLG3uxkNnpSKfEBiy2N
178,julie london,if i'm lucky,3cvPT7z9vGwot70G5Li3I5
179,céline dion,love can move mountains,38XUHcIwtJoiEXTyrC8pF9
180,koop,i see a different you,3vm0aEj2SMGtncYdjU2DI7
181,ritchie valens,my darling is gone,2QjIEZJDtWVUx1X0dpjuJu
182,peter tosh,babylon queendom,5L3Xsu9mgIhcTn86T5Nui0
183,adelitas way,notorious,2ni4ZSzsQoG74IUjYvyv8n
184,traffic,"40,000 headmen",2RbJc1nH5N83pjZNnDMDZB
185,rend collective,counting every blessing,0lATXmstYwzQjOLgkzvnEc
186,john mayer,3x5,2Knlcf82LF6hp6Bf0gldtN
187,b.b. king,early every morning,1YtLghrMqyODC5183nwyZk
188,shrub,herbivore,0Ot9ZoZNFa26smoiDLwauP
189,the seekers,the carnival is over,4rtnLe7BMoqxUj4Y8Wgqf6
190,b.b. king,i like to live the love,65k1tfjXmOYbc3aLB3wliS
191,keith urban,thank you,1w9LuGRGfZlE8AGDbSNOfT
192,faith no more,midlife crisis,3Ph7fws05DvPwpn5CQHTBy
193,captain beyond,sufficiently breathless,57oVcyjYuoZfvxaTTJtTeG
194,peter tosh,where you gonna run,4ByFEfZp8SNWQg8UuWLCmi
195,marshall crenshaw,try,69jVqfSr1vOBjcsGJeijz1
196,leann rimes,god bless america,63Od9t6xI8CiIkr7T3XZfr
197,jerry garcia,bird song,6aPTenGczmhlZg1g14Mdff
198,ronnie milsap,is it over,1v77ybydQXVq6O9XnSDSdm
199,lorde,homemade dynamite,7rdUtXasA973gmrr2Xxh3E
200,dj shadow,six days,5j3QqRGflS4o5jbsFSwKW1
201,karen dalton,when a man loves a woman,3F3phA2ifyx8nRdnRazYVZ
202,bebe rexha,bad bitch (feat. ty dolla $ign),4ZJPwET9Jrgpkqi4Vo3Yg8
203,mc5,high school,68gliAoTqB2ykfVh1N18PS
204,jimmy reed,"aw shucks, hush your mouth",78Cg7PEJ7zEvhZQUdiGktL
205,chick corea,spain,5RrJCusmR1J54b5ivqdWIu
207,mudvayne,scream with me,7ss73yV5efYHgm9bAQ98JM
208,stephen stills,turn back the pages,4pVA399XGov2hhrrxSJip2
209,mariah carey,the roof,4gNeiiz86Y5wekGwfIybXW
210,damian marley,living it up,0Xd3LUIjRESt5rSAGzvAvA
211,the beach boys,"anna lee, the healer",3r3arRITkDDlm2RcH3E02k
212,drowning pool,tear away,3ENHpbTuY72FukZbwGP6bc
214,michael prophet,you are a no good,6FAI1jvFTpetUcmRxmnIqc
215,eric clapton,tell me that you love me,6uYRiyGQ3RLZwOKPnYgM14
216,thee oh sees,lupine ossuary,4y65gEgkide7Phy9dgDRdq
217,flyleaf,call you out,6MLiQIWMaTaaOB04R1VC0k
218,drive-by truckers,tornadoes,6IlomAMOVnYbzWt6dMt5Cu
220,dean martin,rock-a-bye your baby with a dixie melody,2w0bmfJun0gC8BOZxbaLAF
221,tears for fears,change,2JhIaeltCDCcp02K936tgx
222,billie holiday,love me or leave me,5ZGaS6Q8WW21pyQWajBcXs
223,martha reeves & the vandellas,i should be proud,2nxSAQBvF6gDIwZmG6B9nO
224,chubby checker,the hucklebuck,7EumbJIbcVSyJSYKc4aVsT
225,nine inch nails,the big come down,3cl42VFcRop14wAduvSeaH
226,the who,the acid queen,4rsxuPgzQGwaumPAVKW6qD
227,dion & the belmonts,swinging on a star,75dNOsoC6TLvSp4qkSBw4H
228,jimmie vaughan,dengue woman blues,4OGyibX2nayDVCUfFN4u8x
229,foghat,somebody's been sleepin' in my bed,52nVtrwHhGNThtA6RW0WMS
230,jj grey & mofro,circles,1J4JWWNq714qkRSEaLP4aM
231,olivia newton-john,please mr. please,1lL1jDnZTH60djVb6vKIQj
232,emmylou harris,long may you run,3kjPty1OcP5o2X1oLUlv4M
233,donna summer,spring affair,2ldalh6d2MrsAFaZG9H3P4
234,rage against the machine,without a face,3DdOsUq1M9mJBFVR0xbSOx
235,charley pride,where do i put her memory,5elDLvpi4MB1NT02PjbgtE
236,cocteau twins,my love paramour,5kVOIixeGiFGY8cvWsiGgZ
237,dolly parton,please help me i'm falling (in love with you),71zA7wGhhDnpzhoPHpLth3
238,emmylou harris,today i started loving you again,6CCQr8yiYmHHeklXpUyZGY
239,bachman-turner overdrive,down to the line,2t7nOIw5cbz12lyIgIaNDB
241,journey,higher place,0JV7IEIaYfG6olLls5uKeU
242,buddy holly,"blue days, black nights",6EhXQXTEPplSTzJpY1sGOg
243,chet baker,love me or leave me,6UwWFVfPms0FTNbkwfpOco
244,thelonious monk,nice work if you can get it (take 3),4dNirWTthDrYeTGxcpTzDm
245,imagine dragons,love,5d41vXH0zvpwUrHrmqKqDc
246,heartless bastards,the arrow killed the beast,5B78sGcSDqwN3X7olkFHn1
247,howlin' wolf,commit a crime,2AZ3TMtCVzbrOI6KJHgaCw
248,b.b. king,did you ever love a woman,2rhpPt9vvIk7QG53WSLvnp
249,three dog night,celebrate,3uQyGzJkoJ4N0rBVuCCuOB
250,bring me the horizon,drown,6o39Ln9118FKTMbM4BvcEy
251,g-eazy,forbes,31RYcUDhkqkH1W2xxnzBjY
252,andy williams,happy heart,5dcxuUQZI7nPldcNkxAR9v
253,local natives,dark days,7LZN7FkxHZk6maiN6NdI2i
254,eric clapton,bell bottom blues,4hDJrrN4g9n1w1q1DrNvgJ
255,dwight yoakam,train in vain,3izLJdSR44HQzbfq9KePEM
256,ella fitzgerald,ac-cent-tchu-ate the positive,1sFNjODWdOfuK4KqzrF8uI
257,little eva,run to her,1i93Ig32IZ4xOC9yya8Hus
258,aim,ain't got time to waste,52EDC32R0WxNs6ju9VUqLj
259,the chordettes,teen age goodnight,1emHwDueprGQh7CZGyi3gC
260,jim reeves,after loving you,7a2GiRC34hswlfYriK0o6L
261,lindsay lohan,drama queen (that girl),7ijMo6K6uLdgJqGdj9H7nG
262,jimmy eat world,hear you me,1TvNcWY7WwPLQINhimxycA
263,lil wayne,3 peat,58PWl2rA7lU90UBvDufzWm
